,Unnamed: 0,speed,power
0,0,0.0,0.0
1,1,0.125,0.0
2,2,0.15,0.0
3,3,0.225,0.0
4,4,0.275,0.0
5,5,0.325,4.331
6,6,0.4,5.186
7,7,0.45,3.826
8,8,0.501,1.048
9,9,0.526,5.553
10,10,0.551,6.4979999999999976
11,11,0.5760000000000001,5.2410000000000005
12,12,0.626,4.22
13,13,0.6759999999999999,7.974
14,14,0.701,9.746
15,15,0.726,0.0
16,16,0.7509999999999999,0.0
17,17,0.8009999999999999,7.271
18,18,0.826,0.795
19,19,0.851,7.35
20,20,0.9259999999999999,1.996
21,21,0.951,1.609
22,22,0.976,2.064
23,23,1.001,6.511
24,24,1.026,0.0
25,25,1.051,2.085
26,26,1.0759999999999998,0.0
27,27,1.101,0.121
28,28,1.151,1.208
29,29,1.251,3.373
30,30,1.276,6.51
31,31,1.301,0.0
32,32,1.401,4.1560000000000015
33,33,1.426,2.005
34,34,1.5019999999999998,5.352
35,35,1.5519999999999998,0.0
36,36,1.652,7.221
37,37,1.6769999999999998,0.0
38,38,1.702,2.439
39,39,1.827,0.0
40,40,1.8769999999999998,2.359
41,41,1.902,7.047999999999999
42,42,2.0269999999999997,0.0
43,43,2.077,0.0
44,44,2.102,0.0
45,45,2.177,2.701
46,46,2.227,2.8689999999999998
47,47,2.252,0.0
48,48,2.4019999999999997,2.287
49,49,2.477,6.947
50,50,2.553,2.37
51,51,2.5780000000000003,3.165
52,52,2.7030000000000003,0.667
53,53,2.8280000000000003,7.559
54,54,2.853,14.130999999999998
55,55,2.9530000000000003,2.8939999999999997
56,56,3.003,3.5780000000000003
57,57,3.028,2.633
58,58,3.053,2.8360000000000003
59,59,3.0780000000000003,3.063
60,60,3.128,0.0
61,61,3.2030000000000003,1.36
62,62,3.378,4.334
63,63,3.403,2.167
64,64,3.428,6.819
65,65,3.5039999999999996,0.0
66,66,3.529,5.3
67,67,3.5789999999999997,0.0
68,68,3.6039999999999996,1.535
69,69,3.6289999999999996,9.89
70,70,3.679,0.0
71,71,3.7039999999999997,2.27
72,72,3.7289999999999996,4.595
73,73,3.779,0.0
74,74,3.804,0.0
75,75,3.8789999999999996,0.0
76,76,3.904,4.453
77,77,3.929,4.415
78,78,3.9539999999999997,0.132
79,79,3.9789999999999996,2.03
80,80,4.178999999999999,1.035
81,81,4.303999999999999,4.437
82,82,4.329,1.043
83,83,4.428999999999999,0.0
84,84,4.53,3.9339999999999997
85,85,4.555,6.824
86,86,4.605,13.592
87,87,4.73,0.82
88,88,4.78,10.444
89,89,4.88,0.0
90,90,4.905,7.06
91,91,4.93,0.946
92,92,4.955,1.9069999999999998
93,93,4.98,1.681
94,94,5.03,9.519
95,95,5.08,2.9730000000000003
96,96,5.13,8.623
97,97,5.18,4.525
98,98,5.205,0.932
99,99,5.255,2.478
100,100,5.28,0.113
101,101,5.305,11.664000000000001
102,102,5.43,0.929
103,103,5.455,4.454
104,104,5.506,3.2
105,105,5.556,0.0
106,106,5.631,6.184
107,107,5.681,3.036
108,108,5.706,1.626
109,109,5.731,5.631
110,110,5.7810000000000015,0.0
111,111,5.806,0.0
112,112,5.831,4.38
113,113,5.9060000000000015,1.8259999999999998
114,114,5.931,0.0
115,115,5.956,4.292
116,116,5.981,2.762
117,117,6.006,5.539
118,118,6.0310000000000015,3.912
119,119,6.081,3.96
120,120,6.106,0.997
121,121,6.131,10.864
122,122,6.1560000000000015,2.2359999999999998
123,123,6.181,5.347
124,124,6.231,6.4910000000000005
125,125,6.356,5.8420000000000005
126,126,6.4060000000000015,6.4460000000000015
127,127,6.456,3.51
128,128,6.481,10.262
129,129,6.607,5.682
130,130,6.682,10.044
131,131,6.732,9.079
132,132,6.7570000000000014,1.53
133,133,6.782,0.0
134,134,6.8320000000000025,8.616
135,135,6.857,0.0
136,136,6.9570000000000025,0.0
137,137,6.982,4.187
138,138,7.057,1.485
139,139,7.0820000000000025,9.779
140,140,7.107,0.0
141,141,7.157,7.973
142,142,7.182,0.067
143,143,7.2070000000000025,8.238
144,144,7.232,9.406
145,145,7.2570000000000014,5.252000000000002
146,146,7.307,4.243
147,147,7.3820000000000014,4.5969999999999995
148,148,7.407,3.122
149,149,7.432,0.0
150,150,7.507999999999999,9.033999999999999
151,151,7.558,6.853
152,152,7.608,8.471
153,153,7.632999999999999,14.788
154,154,7.683,7.245
155,155,7.7079999999999975,10.297
156,156,7.733,4.4430000000000005
157,157,7.808,13.142000000000001
158,158,7.8329999999999975,11.321
159,159,7.858,9.385
160,160,7.882999999999999,5.947
161,161,7.907999999999999,14.511
162,162,7.933,5.6960000000000015
163,163,8.033,6.983
164,164,8.083,5.385
165,165,8.133,11.749
166,166,8.183,7.83
167,167,8.208,7.785
168,168,8.308,9.812000000000001
169,169,8.408,6.6560000000000015
170,170,8.458,3.0
171,171,8.533999999999999,11.422
172,172,8.634,13.113
173,173,8.658999999999999,16.413
174,174,8.684,9.42
175,175,8.759,8.937000000000003
176,176,8.834,10.76
177,177,8.859,14.16
178,178,8.884,16.697
179,179,8.959,5.553999999999999
180,180,9.209,11.12
181,181,9.259,13.774000000000001
182,182,9.309,12.880999999999998
183,183,9.434,18.035999999999998
184,184,9.535,18.042
185,185,9.56,9.911
186,186,9.61,14.055
187,187,9.735,17.393
188,188,9.81,24.164
189,189,9.835,15.394
190,190,9.86,14.845
